resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,fastestLapTime,statusId,rank
1,1061,830,9,33,2,1,1,1,3,17,0:25:38,1538426,14,0:01:30,1,\N
2,1061,1,131,44,1,2,2,2,2,17,10:19:12,1539856,17,0:01:30,1,\N
3,1061,822,131,77,3,3,3,3,1,17,12:02:53,1545928,17,0:01:30,1,\N
4,1061,844,6,16,4,4,4,4,0,17,6:40:19,1549704,16,0:01:30,1,\N
5,1061,846,1,4,6,5,5,5,0,17,2:39:50,1562537,16,0:01:31,1,\N
6,1061,817,1,3,7,6,6,6,0,17,23:00:58,1569385,17,0:01:31,1,\N
7,1061,4,214,14,11,7,7,7,0,17,12:38:53,1581953,17,0:01:32,1,\N
8,1061,20,117,5,10,8,8,8,0,17,10:32:10,1582865,17,0:01:32,1,\N
9,1061,847,3,63,8,9,9,9,0,17,15:38:53,1585078,17,0:01:32,1,\N
10,1061,839,214,31,13,10,10,10,0,17,9:28:48,1585821,16,0:01:32,1,\N
11,1061,832,6,55,9,11,11,11,0,17,19:09:07,1586224,10,0:01:32,1,\N
12,1061,842,213,10,12,12,12,12,0,17,18:18:43,1587189,17,0:01:32,1,\N
13,1061,8,51,7,17,13,13,13,0,17,16:14:53,1589103,12,0:01:32,1,\N
14,1061,840,117,18,15,14,14,14,0,17,4:17:46,1590605,12,0:01:32,1,\N
15,1061,841,51,99,14,15,15,15,0,17,5:24:00,1591651,14,0:01:32,1,\N
16,1061,852,213,22,16,16,16,16,0,17,13:36:29,1591993,14,0:01:32,1,\N
17,1061,849,3,6,18,17,17,17,0,17,3:53:17,1593588,17,0:01:32,1,\N
18,1061,854,210,47,19,18,18,18,0,17,+1:08.213,1606639,15,0:01:33,1,\N
19,1061,853,210,9,20,19,19,19,0,17,+1:17.648,1616074,3,0:01:33,1,\N
20,1061,815,9,11,5,\N,R,20,0,16,\N,\N,6,0:01:31,76,\N
21,1065,822,131,77,1,1,1,1,3,18,0:27:54,1674078,9,0:01:24,1,\N
22,1065,830,9,33,3,2,2,2,2,18,7:48:00,1676403,9,0:01:24,1,\N
23,1065,817,1,3,5,3,3,3,1,18,12:48:58,1688612,17,0:01:24,1,\N
24,1065,846,1,4,4,4,4,4,0,18,20:02:24,1692913,9,0:01:25,1,\N
25,1065,1,131,44,2,5,5,5,0,18,0:15:50,1694089,9,0:01:24,1,\N
26,1065,844,6,16,8,6,6,6,0,18,10:36:29,1697520,18,0:01:25,1,\N
27,1065,832,6,55,7,7,7,7,0,18,22:50:53,1702030,8,0:01:25,1,\N
28,1065,841,51,99,10,8,8,8,0,18,2:08:10,1705167,10,0:01:25,1,\N
29,1065,815,9,11,9,9,9,9,0,18,16:19:12,1705758,12,0:01:24,1,\N
30,1065,840,117,18,12,10,10,10,0,18,16:06:14,1712749,8,0:01:25,1,\N
31,1065,4,214,14,13,11,11,11,0,18,19:04:48,1713873,8,0:01:25,1,\N
32,1065,20,117,5,11,12,12,12,0,18,4:14:53,1715255,8,0:01:25,1,\N
33,1065,839,214,31,14,13,13,13,0,18,8:57:07,1717451,8,0:01:26,1,\N
34,1065,849,3,6,16,14,14,14,0,18,23:26:53,1720055,9,0:01:26,1,\N
35,1065,847,3,63,15,15,15,15,0,18,19:42:14,1720899,15,0:01:26,1,\N
36,1065,852,213,22,17,16,16,16,0,18,23:26:53,1724055,18,0:01:26,1,\N
37,1065,853,210,9,20,17,17,17,0,18,+1:02.599,1736677,7,0:01:27,1,\N
38,1065,9,51,88,19,18,18,18,0,18,+1:05.096,1739174,12,0:01:27,1,\N
39,1065,854,210,47,18,19,19,19,0,18,+1:06.154,1740232,7,0:01:27,1,\N
40,1065,842,213,10,6,\N,R,20,0,0,\N,\N,\N,\N,3,\N
41,1071,822,131,77,2,1,1,1,3,24,0:29:10,1749559,8,0:01:12,1,\N
42,1071,830,9,33,1,2,2,2,2,24,4:04:48,1750729,9,0:01:12,1,\N
43,1071,832,6,55,5,3,3,3,1,24,17:21:07,1768282,13,0:01:13,1,\N
44,1071,815,9,11,3,4,4,4,0,24,18:53:17,1769346,13,0:01:13,1,\N
45,1071,1,131,44,20,5,5,5,0,24,20:55:41,1770431,5,0:01:12,1,\N
46,1071,846,1,4,7,6,6,6,0,24,13:23:31,1772117,8,0:01:13,1,\N
47,1071,844,6,16,6,7,7,7,0,24,1:20:38,1774615,4,0:01:13,1,\N
48,1071,842,213,10,4,8,8,8,0,24,3:47:31,1783717,4,0:01:13,1,\N
49,1071,839,214,31,10,9,9,9,0,24,15:10:05,1784191,11,0:01:14,1,\N
50,1071,20,117,5,11,10,10,10,0,24,20:48:29,1784426,5,0:01:14,1,\N
51,1071,817,1,3,8,11,11,11,0,24,20:51:22,1785428,9,0:01:13,1,\N
52,1071,4,214,14,9,12,12,12,0,24,13:52:19,1786137,4,0:01:13,1,\N
53,1071,841,51,99,14,13,13,13,0,24,21:07:12,1791439,11,0:01:14,1,\N
54,1071,840,117,18,15,14,14,14,0,24,0:53:17,1793596,9,0:01:14,1,\N
55,1071,852,213,22,12,15,15,15,0,24,3:36:00,1795709,11,0:01:14,1,\N
56,1071,849,3,6,16,16,16,16,0,24,18:14:24,1796319,7,0:01:14,1,\N
57,1071,847,3,63,17,17,17,17,0,24,17:44:10,1797298,14,0:01:14,1,\N
58,1071,8,51,7,13,18,18,18,0,24,0:20:10,1799573,9,0:01:14,1,\N
59,1071,854,210,47,18,19,19,19,0,24,+1:01.680,1811239,9,0:01:14,1,\N
60,1071,853,210,9,19,20,20,20,0,24,+1:07.474,1817033,6,0:01:15,1,\N
61,1077,830,9,1,1,1,1,1,8,21,0:30:40,1839567,14,0:01:19,1,\N
62,1077,844,6,16,2,2,2,2,7,21,23:24:00,1842542,11,0:01:19,1,\N
63,1077,815,9,11,7,3,3,3,6,21,17:18:14,1844288,14,0:01:19,1,\N
64,1077,832,6,55,10,4,4,4,5,21,13:52:19,1857145,14,0:01:19,1,\N
65,1077,846,1,4,3,5,5,5,4,21,13:27:50,1864128,9,0:01:20,1,\N
66,1077,817,1,3,6,6,6,6,3,21,17:45:36,1867307,12,0:01:20,1,\N
67,1077,822,51,77,8,7,7,7,2,21,3:11:31,1867700,9,0:01:20,1,\N
68,1077,825,210,20,4,8,8,8,1,21,17:05:17,1870279,6,0:01:21,1,\N
69,1077,4,214,14,5,9,9,9,0,21,6:40:19,1871845,10,0:01:21,1,\N
70,1077,854,210,47,12,10,10,10,0,21,18:33:07,1873340,15,0:01:21,1,\N
71,1077,847,131,63,11,11,11,11,0,21,6:48:58,1875851,19,0:01:21,1,\N
72,1077,852,213,22,16,12,12,12,0,21,7:09:07,1877865,20,0:01:21,1,\N
73,1077,20,117,5,9,13,13,13,0,21,4:14:53,1879744,8,0:01:21,1,\N
74,1077,1,131,44,13,14,14,14,0,21,11:00:58,1881026,9,0:01:21,1,\N
75,1077,840,117,18,15,15,15,15,0,21,21:50:24,1882477,14,0:01:21,1,\N
76,1077,839,214,31,19,16,16,16,0,21,12:24:29,1883084,14,0:01:21,1,\N
77,1077,842,213,10,17,17,17,17,0,21,19:03:22,1883361,18,0:01:21,1,\N
78,1077,848,3,23,20,18,18,18,0,21,20:54:14,1888438,14,0:01:21,1,\N
79,1077,849,3,6,18,19,19,19,0,21,0:24:29,1891584,16,0:01:21,1,\N
80,1077,855,51,24,0,\N,R,20,0,0,\N,\N,\N,\N,31,\N
81,1084,830,9,1,1,1,1,1,8,23,0:26:30,1590059,5,0:01:08,1,\N
82,1084,844,6,16,2,2,2,2,7,23,16:12:00,1591734,4,0:01:08,1,\N
83,1084,832,6,55,3,3,3,3,6,23,15:27:22,1595703,4,0:01:08,1,\N
84,1084,847,131,63,4,4,4,4,5,23,10:17:46,1603488,4,0:01:09,1,\N
85,1084,815,9,11,13,5,5,5,4,23,7:14:53,1608361,14,0:01:09,1,\N
86,1084,839,214,31,5,6,6,6,3,23,0:46:05,1621091,4,0:01:09,1,\N
87,1084,825,210,20,6,7,7,7,2,23,12:56:10,1624598,4,0:01:09,1,\N
88,1084,1,131,44,9,8,8,8,1,23,10:43:41,1625506,7,0:01:10,1,\N
89,1084,854,210,47,7,9,9,9,0,23,3:54:43,1627222,4,0:01:09,1,\N
90,1084,822,51,77,12,10,10,10,0,23,13:22:05,1627616,4,0:01:10,1,\N
91,1084,846,1,4,15,11,11,11,0,23,13:55:12,1628639,8,0:01:10,1,\N
92,1084,817,1,3,16,12,12,12,0,23,17:42:43,1629797,8,0:01:10,1,\N
93,1084,840,117,18,17,13,13,13,0,23,5:47:02,1638300,4,0:01:10,1,\N
94,1084,855,51,24,18,14,14,14,0,23,18:04:19,1640812,11,0:01:10,1,\N
95,1084,842,213,10,10,15,15,15,0,23,3:00:00,1642184,4,0:01:10,1,\N
96,1084,848,3,23,11,16,16,16,0,23,9:53:17,1642471,5,0:01:10,1,\N
97,1084,852,213,22,14,17,17,17,0,23,13:20:38,1644615,4,0:01:10,1,\N
98,1084,849,3,6,19,18,18,18,0,23,+1:08.694,1658753,4,0:01:10,1,\N
99,1084,20,117,5,20,19,19,19,0,21,\N,\N,4,0:01:10,130,\N
100,1084,4,214,14,8,\N,N,20,0,0,\N,\N,\N,\N,10,\N
101,1095,847,131,63,3,1,1,1,8,24,0:30:11,1811307,4,0:01:14,1,\N
102,1095,832,6,55,5,2,2,2,7,24,23:52:48,1815302,2,0:01:15,1,\N
103,1095,1,131,44,8,3,3,3,6,24,11:48:29,1815799,3,0:01:14,1,\N
104,1095,830,9,1,2,4,4,4,5,24,11:51:22,1821801,5,0:01:15,1,\N
105,1095,815,9,11,9,5,5,5,4,24,20:31:12,1823162,5,0:01:15,1,\N
106,1095,844,6,16,10,6,6,6,3,24,3:11:31,1824440,4,0:01:15,1,\N
107,1095,846,1,4,4,7,7,7,2,24,14:58:34,1836931,4,0:01:15,1,\N
108,1095,825,210,20,1,8,8,8,1,24,18:25:55,1840075,2,0:01:15,1,\N
109,1095,20,117,5,13,9,9,9,0,24,5:13:55,1841525,4,0:01:15,1,\N
110,1095,842,213,10,12,10,10,10,0,24,4:04:48,1845477,3,0:01:15,1,\N
111,1095,817,1,3,14,11,11,11,0,24,9:28:48,1850702,5,0:01:15,1,\N
112,1095,854,210,47,20,12,12,12,0,24,3:48:58,1852466,5,0:01:16,1,\N
113,1095,855,51,24,17,13,13,13,0,24,18:18:43,1853070,7,0:01:16,1,\N
114,1095,822,51,77,18,14,14,14,0,24,8:06:43,1853645,8,0:01:16,1,\N
115,1095,852,213,22,19,15,15,15,0,24,7:20:38,1861613,4,0:01:16,1,\N
116,1095,840,117,18,15,16,16,16,0,24,16:48:00,1862007,4,0:01:15,1,\N
117,1095,839,214,31,6,17,17,17,0,24,18:08:38,1863063,5,0:01:16,1,\N
118,1095,4,214,14,7,18,18,18,0,24,23:38:24,1865292,5,0:01:15,1,\N
119,1095,849,3,6,16,19,19,19,0,24,+1:16.850,1888157,4,0:01:17,1,\N
120,1095,848,3,23,11,\N,R,20,0,12,\N,\N,4,0:01:16,31,\N
121,1101,815,9,11,2,1,1,1,8,17,0:33:18,1997667,11,0:01:44,1,\N
122,1101,844,6,16,1,2,2,2,7,17,11:06:43,2002130,12,0:01:44,1,\N
123,1101,830,9,1,3,3,3,3,6,17,1:33:36,2002732,10,0:01:44,1,\N
124,1101,847,131,63,4,4,4,4,5,17,11:12:29,2001134,10,0:01:44,1,\N
125,1101,832,6,55,5,5,5,5,4,17,9:18:43,2008055,11,0:01:44,1,\N
126,1101,4,117,14,8,6,6,6,3,17,14:42:43,2009280,12,0:01:45,1,\N
127,1101,1,131,44,6,7,7,7,2,17,21:21:36,2002557,8,0:01:45,1,\N
128,1101,840,117,18,9,8,8,8,1,17,10:00:29,2016084,14,0:01:45,1,\N
129,1101,848,3,23,7,9,9,9,0,17,18:10:05,2019424,10,0:01:45,1,\N
130,1101,857,1,81,11,10,10,10,0,17,20:25:26,2020518,8,0:01:45,1,\N
131,1101,825,210,20,13,11,11,11,0,17,23:45:36,2025657,14,0:01:45,1,\N
132,1101,855,51,24,14,12,12,12,0,17,14:26:53,2032269,16,0:01:46,1,\N
133,1101,842,214,10,17,13,13,13,0,17,22:01:55,2034585,12,0:01:46,1,\N
134,1101,856,213,21,18,14,14,14,0,17,15:01:26,2039293,17,0:01:46,1,\N
135,1101,807,210,27,12,15,15,15,0,17,14:05:17,2046254,8,0:01:46,1,\N
136,1101,822,51,77,15,16,16,16,0,17,22:00:29,2047584,9,0:01:46,1,\N
137,1101,846,1,4,10,17,17,17,0,17,2:29:46,2048771,15,0:01:44,1,\N
138,1101,839,214,31,0,18,18,18,0,17,+1:00.621,2058288,15,0:01:45,1,\N
139,1101,852,213,22,16,\N,R,19,0,2,\N,\N,\N,\N,130,\N
140,1101,858,3,2,0,\N,W,20,0,0,\N,\N,\N,\N,3,\N
141,1107,830,9,1,1,1,1,1,8,24,0:30:27,1826730,19,0:01:14,1,\N
142,1107,815,9,11,2,2,2,2,7,24,1:09:07,1847778,16,0:01:15,1,\N
143,1107,832,6,55,5,3,3,3,6,24,2:06:43,1849818,16,0:01:15,1,\N
144,1107,840,117,18,7,4,4,4,5,24,16:52:19,1856433,23,0:01:16,1,\N
145,1107,4,117,14,6,5,5,5,4,24,2:36:58,1856839,18,0:01:15,1,\N
146,1107,807,210,27,4,6,6,6,3,24,7:07:41,1858027,24,0:01:10,1,\N
147,1107,839,214,31,8,7,7,7,2,24,14:26:53,1863332,22,0:01:16,1,\N
148,1107,847,131,63,15,8,8,8,1,24,14:39:50,1863341,23,0:01:10,1,\N
149,1107,846,1,4,3,9,9,9,0,24,14:35:31,1865338,19,0:01:16,1,\N
150,1107,1,131,44,18,10,10,10,0,24,9:00:00,1873105,24,0:01:11,1,\N
151,1107,857,1,81,17,11,11,11,0,24,19:22:05,1876537,24,0:01:10,1,\N
152,1107,844,6,16,9,12,12,12,0,24,18:56:10,1877519,24,0:01:11,1,\N
153,1107,848,3,23,11,13,13,13,0,24,20:21:07,1879578,24,0:01:12,1,\N
154,1107,825,210,20,10,14,14,14,0,24,14:13:55,1883323,23,0:01:11,1,\N
155,1107,842,214,10,12,15,15,15,0,24,15:38:53,1884382,22,0:01:16,1,\N
156,1107,852,213,22,13,16,16,16,0,24,+1:04.822,1891552,23,0:01:11,1,\N
157,1107,856,213,21,14,17,17,17,0,24,+1:05.617,1892347,22,0:01:12,1,\N
158,1107,858,3,2,20,18,18,18,0,24,+1:06.059,1892789,21,0:01:12,1,\N
159,1107,855,51,24,16,19,19,19,0,24,+1:10.825,1897555,22,0:01:11,1,\N
160,1107,822,51,77,0,20,20,20,0,24,+1:16.435,1903165,22,0:01:17,1,\N
161,1110,830,9,1,1,1,1,1,8,11,0:24:58,1498433,6,0:01:59,1,\N
162,1110,857,1,81,2,2,2,2,7,11,16:14:53,1505110,2,0:02:00,1,\N
163,1110,842,214,10,6,3,3,3,6,11,17:35:31,1509166,6,0:02:02,1,\N
164,1110,832,6,55,3,4,4,4,5,11,15:33:07,1511081,7,0:02:01,1,\N
165,1110,844,6,16,4,5,5,5,4,11,0:23:02,1513449,7,0:02:03,1,\N
166,1110,846,1,4,5,6,6,6,3,11,1:14:53,1514485,8,0:02:02,1,\N
167,1110,1,131,44,7,7,7,7,2,11,18:10:05,1515190,7,0:02:01,1,\N
168,1110,847,131,63,10,8,8,8,1,11,19:43:41,1515255,10,0:02:02,1,\N
169,1110,839,214,31,9,9,9,9,0,11,9:50:24,1520843,6,0:02:03,1,\N
170,1110,817,213,3,11,10,10,10,0,11,19:20:38,1521239,8,0:02:03,1,\N
171,1110,840,117,18,14,11,11,11,0,11,0:10:05,1523440,6,0:02:03,1,\N
172,1110,848,3,23,12,12,12,12,0,11,7:16:19,1524736,6,0:02:04,1,\N
173,1110,822,51,77,17,13,13,13,0,11,0:08:38,1525439,6,0:02:04,1,\N
174,1110,825,210,20,18,14,14,14,0,11,23:39:50,1531419,6,0:02:04,1,\N
175,1110,855,51,24,19,15,15,15,0,11,8:12:29,1534775,6,0:02:05,1,\N
176,1110,858,3,2,13,16,16,16,0,11,13:42:14,1536004,6,0:02:03,1,\N
177,1110,807,210,27,20,17,17,17,0,11,19:50:53,1536260,6,0:02:03,1,\N
178,1110,852,213,22,16,18,18,18,0,11,6:24:29,1537700,7,0:02:02,1,\N
179,1110,815,9,11,8,\N,R,19,0,8,\N,\N,2,0:02:03,130,\N
180,1110,4,117,14,15,\N,R,20,0,2,\N,\N,\N,\N,3,\N
181,1115,857,1,81,1,1,1,1,8,19,0:35:01,2101297,17,0:01:26,1,\N
182,1115,830,9,1,3,2,2,2,7,19,20:54:14,2103168,17,0:01:26,1,\N
183,1115,846,1,4,2,3,3,3,6,19,11:55:41,2109794,19,0:01:26,1,\N
184,1115,847,131,63,4,4,4,4,5,19,0:51:50,2112333,18,0:01:27,1,\N
185,1115,1,131,44,12,5,5,5,4,19,7:32:10,2118611,19,0:01:28,1,\N
186,1115,832,6,55,5,6,6,6,3,19,19:20:38,2120103,7,0:01:29,1,\N
187,1115,848,3,23,17,7,7,7,2,19,20:44:10,2121161,16,0:01:29,1,\N
188,1115,4,117,14,9,8,8,8,1,19,4:19:12,2122477,16,0:01:29,1,\N
189,1115,842,214,10,11,9,9,9,0,19,17:48:29,2123039,16,0:01:29,1,\N
190,1115,822,51,77,13,10,10,10,0,19,4:59:31,2123505,17,0:01:29,1,\N
191,1115,852,213,22,18,11,11,11,0,19,20:42:43,2124160,17,0:01:29,1,\N
192,1115,844,6,16,6,12,12,12,0,19,20:38:24,2126157,8,0:01:29,1,\N
193,1115,840,117,18,16,13,13,13,0,19,12:33:07,2125820,17,0:01:30,1,\N
194,1115,825,210,20,19,14,14,14,0,19,23:16:48,2126267,17,0:01:30,1,\N
195,1115,855,51,24,15,15,15,15,0,19,20:49:55,2128165,17,0:01:30,1,\N
196,1115,807,210,27,7,\N,R,16,0,11,\N,\N,9,0:01:29,31,\N
197,1115,839,214,31,10,\N,R,17,0,10,\N,\N,8,0:01:29,31,\N
198,1115,815,9,11,8,\N,R,18,0,10,\N,\N,9,0:01:29,31,\N
199,1115,858,3,2,20,\N,R,19,0,2,\N,\N,2,0:02:04,31,\N
200,1115,859,213,40,14,\N,R,20,0,0,\N,\N,\N,\N,31,\N
